CD_Cliente,cluster,UF,regiao,DS_SEGMENTO,DS_SUBSEGMENTO,categoria_faturamento,MARCA_TOTVS,MODAL_COMERC,PERIODICIDADE,SITUACAO_CONTRATO,Tempo_relacionamento,nps_aquisicao,nps_implantacao,nps_produto,nps_relacional,nps_suporte
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,FLUIG - CORE,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,4706,sem_nps,promotor,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,3699,sem_nps,sem_nps,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,MANUFATURA - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,CANCELADO,4951,sem_nps,sem_nps,promotor,promotor,passivo
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,GRATUITO,0,sem_nps,sem_nps,promotor,promotor,passivo
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,MANUFATURA - PARCEIRO,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,2892,sem_nps,sem_nps,promotor,promotor,passivo
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,CLOUD,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,ATIVO,6744,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,SERVICOS - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,6769,sem_nps,sem_nps,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,0,sem_nps,sem_nps,promotor,promotor,passivo
T00673,2,SP,Sudeste,MANUFATURA,QUIMICA & RECICLAGEM,Média,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,GRATUITO,2753,sem_nps,sem_nps,promotor,promotor,passivo
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,SOFTWARE COMPLEMENTAR,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,5365,sem_nps,sem_nps,promotor,promotor,passivo
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,CLOUD,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,ATIVO,6744,sem_nps,sem_nps,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,CLOUD,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,ATIVO,4308,sem_nps,sem_nps,promotor,promotor,passivo
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,GOODDATA,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,4957,sem_nps,sem_nps,promotor,promotor,passivo
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,SERVICOS DE IMPLANTACAO,MODALIDADE SERVICOS NÃO RECORRENTES,00 - Mensal,ATIVO,0,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,EDUCACIONAL - CORE,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,CANCELADO,3699,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,SOFTWARE COMPLEMENTAR,null,00 - Mensal,ATIVO,1799,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,3699,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,6590,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,CLOUD,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,ATIVO,6744,sem_nps,sem_nps,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,SOFTWARE COMPLEMENTAR,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,4985,sem_nps,sem_nps,promotor,promotor,passivo
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,SERVICOS DE IMPLANTACAO,null,00 - Mensal,CANCELADO,2115,sem_nps,sem_nps,promotor,promotor,passivo
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,SERVICOS - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,CANCELADO,8438,sem_nps,promotor,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,CLOUD,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,ATIVO,6744,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,3699,sem_nps,sem_nps,promotor,promotor,promotor
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,SOFTWARE COMPLEMENTAR,null,00 - Mensal,ATIVO,2955,sem_nps,promotor,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,6597,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,BACKOFFICE - PARCEIRO,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,6597,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,1805,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,RH - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,6590,sem_nps,sem_nps,promotor,promotor,promotor
T00255,2,SP,Sudeste,MANUFATURA,BENS DE CONSUMO,Alta,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,GRATUITO,0,sem_nps,sem_nps,passivo,passivo,detrator
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,BACKOFFICE - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,6744,sem_nps,sem_nps,promotor,promotor,promotor
T00255,2,SP,Sudeste,MANUFATURA,BENS DE CONSUMO,Alta,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,GRATUITO,0,sem_nps,sem_nps,passivo,passivo,detrator
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,MANUFATURA - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,CANCELADO,4951,sem_nps,sem_nps,promotor,promotor,passivo
T00538,2,ES,Sudeste,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,Alta,MANUFATURA - CORPORATIVO,MODALIDADE CORPORATIVO,00 - Mensal,ATIVO,1781,sem_nps,sem_nps,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,4069,sem_nps,sem_nps,promotor,promotor,passivo
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,BACKOFFICE - PARCEIRO,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,5100,sem_nps,sem_nps,promotor,promotor,passivo
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,RH - CORE,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,2801,sem_nps,sem_nps,promotor,promotor,passivo
T00255,2,SP,Sudeste,MANUFATURA,BENS DE CONSUMO,Alta,RH - CORE,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,669,sem_nps,sem_nps,passivo,passivo,detrator
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,BACKOFFICE - PARCEIRO,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,6597,sem_nps,sem_nps,promotor,promotor,promotor
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,FLUIG - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,7241,sem_nps,promotor,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,PROGRESS,MODALIDADE TRADICIONAL,00 - Mensal,TROCADO,4069,sem_nps,sem_nps,promotor,promotor,passivo
T00538,2,ES,Sudeste,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,Alta,MANUFATURA - PARCEIRO,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,ATIVO,1911,sem_nps,sem_nps,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,RH - CORE,MODALIDADE TRADICIONAL,00 - Mensal,CANCELADO,0,sem_nps,sem_nps,promotor,promotor,passivo
T00255,2,SP,Sudeste,MANUFATURA,BENS DE CONSUMO,Alta,RH - CORE,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,0,sem_nps,sem_nps,passivo,passivo,detrator
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,BACKOFFICE - CORE,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,CANCELADO,1472,sem_nps,sem_nps,promotor,promotor,passivo
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,SOFTWARE COMPLEMENTAR,null,00 - Mensal,ATIVO,1799,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,3699,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,CLOUD,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,ATIVO,6744,sem_nps,sem_nps,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,DISTRIBUICAO & VAREJO - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,5352,sem_nps,sem_nps,promotor,promotor,passivo
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,RH - PARCEIRO,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,3212,sem_nps,sem_nps,promotor,promotor,promotor
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,SOFTWARE COMPLEMENTAR,MODALIDADE SERVICOS NÃO RECORRENTES,00 - Mensal,ATIVO,2955,sem_nps,promotor,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,SOFTWARE COMPLEMENTAR,null,00 - Mensal,ATIVO,1799,sem_nps,sem_nps,promotor,promotor,promotor
T00538,2,ES,Sudeste,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,Alta,AMS,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,CANCELADO,4755,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,5831,sem_nps,sem_nps,promotor,promotor,promotor
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,SERVICOS - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,CANCELADO,8135,sem_nps,promotor,promotor,promotor,promotor
T00255,2,SP,Sudeste,MANUFATURA,BENS DE CONSUMO,Alta,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,669,sem_nps,sem_nps,passivo,passivo,detrator
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,3212,sem_nps,sem_nps,promotor,promotor,promotor
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,MANUFATURA - CORPORATIVO,MODALIDADE CORPORATIVO,00 - Mensal,CANCELADO,5637,sem_nps,promotor,promotor,promotor,promotor
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,BACKOFFICE - CORE,MODALIDADE SERVICOS NÃO RECORRENTES,00 - Mensal,CANCELADO,7149,sem_nps,promotor,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,PROGRESS,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,4777,sem_nps,sem_nps,promotor,promotor,passivo
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,EDUCACIONAL - CORE,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,CANCELADO,3212,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,CLOUD,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,ATIVO,6744,sem_nps,sem_nps,promotor,promotor,promotor
